fid,id,ref_no,name,pointx_class,groupname,categoryname,classname,feature_easting,feature_northing,pos_accuracy,uprn,topo_toid,topo_toid_version,usrn,usrn_mi,distance,address_detail,street_name,locality,geographic_county,postcode,admin_boundary,telephone_number,provenance,supply_date,Latitude,Longitude
11099,11099,19951744,Wallington Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,529026,164216,1,5870093672,osgb1000005380139,4,22602109,1,20.3,Wallington Fire Station 19,Belmont Road,Wallington,Greater London,SM6 8TE,Sutton London Boro,,London Fire Brigade,2023/3/1,-0.14809934,51.36236446
11100,11100,19951745,Walthamstow Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,536657,189715,1,1.00023E+11,osgb5000005103959657,1,22837350,1,19.3,Walthamstow Fire Station 343,Forest Road,Walthamstow,Greater London,E17 5JR,Waltham Forest London Boro,,London Fire Brigade,2023/3/1,-0.02870334,51.58972329
11101,11101,19951746,Wandsworth Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,525056,174594,1,121007308,osgb1000041615678,4,22906045,1,22.7,Wandsworth Fire Station 45,West Hill,London,Greater London,SW18 1RB,Wandsworth London Boro,,London Fire Brigade,2023/3/1,-0.201436786,51.45652161
11102,11102,19951747,Wembley Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,517682,185012,1,202089574,osgb1000003313763,7,20202039,1,26.7,Wembley Fire Station 591a,Harrow Road,Wembley,Greater London,HA0 2EG,Brent London Boro,,London Fire Brigade,2023/3/1,-0.30404769,51.55173433
11103,11103,19951748,West Hampstead Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,525394,185189,1,5036508,osgb1000004206667,3,20499056,1,33.1,West Hampstead Fire Station 325,West End Lane,London,Greater London,NW6 1RR,Camden London Boro,,London Fire Brigade,2023/3/1,-0.19281048,51.55166614
11104,11104,19951749,West Norwood Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,531827.4,172618.9,1,1.00023E+11,osgb1000042267252,7,21901036,1,31.9,445,Norwood Road,London,Greater London,SE27 9DN,Lambeth London Boro,,London Fire Brigade,2023/3/1,-0.104765313,51.4372371
11108,11108,19951751,Whitechapel Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,534059,181356,1,6012685,osgb1000006180306,5,22700346,1,23.4,Whitechapel Fire Station 27,Commercial Road,London,Greater London,E1 1LD,Tower Hamlets London Boro,,London Fire Brigade,2023/3/1,-0.069365742,51.51523032
11109,11109,19951752,Willesden Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,522379,184306,1,202057367,osgb1000042041153,6,20200346,1,27.3,Fire Station 59a,Pound Lane,London,Greater London,NW10 2HH,Brent London Boro,,London Fire Brigade,2023/3/1,-0.236580976,51.54439167
11110,11110,19951753,Wimbledon Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,525438,170048,1,48082669,osgb1000041605195,5,22103622,1,28.6,Fire Station 87,Kingston Road,"Wimbledon, London",Greater London,SW19 1JN,Merton London Boro,,London Fire Brigade,2023/3/1,-0.197549908,51.41558074
11111,11111,19951754,Woodford Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,540254,191998,1,1.00023E+11,osgb1000006863126,8,22305313,1,22.8,Woodford Fire Station 2,Snakes Lane West,Woodford Green,Greater London,IG8 0BS,Redbridge London Boro,,London Fire Brigade,2023/3/1,0.024097426,51.60935413
11112,11112,19951755,Woodside Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,534929,166983,1,1.00023E+11,osgb1000006128916,2,20501153,1,23.9,Fire Station 2,Long Lane,Croydon,Greater London,CR0 7AL,Croydon London Boro,,London Fire Brigade,2023/3/1,-0.062312197,51.3858601
11113,11113,19951757,Heathrow Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,507134.4,176818.8,1,10003002998,osgb1000002356621,3,21401419,1,631,Heathrow Fire Station Building 450,Northern Perimeter Road,"London Heathrow Airport, Heathrow",Greater London,TW6 2RR,Hillingdon London Boro,,London Fire Brigade,2023/3/1,-0.458604132,51.48019109
11114,11114,19951758,Dowgate Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,532630,180737,1,2E+11,osgb1000005889782,4,8100545,1,33.9,Dowgate Fire Station 94-95,Upper Thames Street,London,Greater London,EC4R 3UE,City and County of the City of London,,London Fire Brigade,2023/3/1,-0.09018067,51.51000486
11115,11115,19951760,Lewisham Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,538130.9,175010.2,1,1.00023E+11,osgb1000041916289,9,22004177,1,17.6,Lewisham Fire Station 249-259,Lewisham High Street,"Hither Green, London",Greater London,SE13 6NH,Lewisham London Boro,,London Fire Brigade,2023/3/1,-0.013201738,51.45722509
11116,11116,19951761,Leytonstone Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,539329,186560,1,1.00023E+11,osgb5000005177108450,1,22844950,1,17.2,Leytonstone Fire Station 466,High Road Leytonstone,Leytonstone,Greater London,E11 3HN,Waltham Forest London Boro,,London Fire Brigade,2023/3/1,0.008592918,51.56071928
11117,11117,19951763,Richmond (London) Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,519232.2,175671.9,1,1.00023E+11,osgb1000003497922,4,22404723,1,23.7,Richmond Fire Station 323,Lower Richmond Road,Richmond,Greater London,TW9 4PN,Richmond upon Thames London Boro,,London Fire Brigade,2023/3/1,-0.284855609,51.46746411
11118,11118,19951764,Romford Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,551179.4,190571.3,1,1.00023E+11,osgb1000000295622,3,21301497,1,22.6,Romford Fire Station 198,Pettits Lane North,Romford,Greater London,RM1 4NU,Havering London Boro,,London Fire Brigade,2023/3/1,0.181143577,51.59371193
11119,11119,19951765,Wennington Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,554196.2,180917.3,1,1.00024E+11,osgb1000000437404,8,21320396,1,39.7,Wennington Fire Station,Wennington Road,"Wennington, Rainham",Greater London,RM13 9EE,Havering London Boro,,London Fire Brigade,2023/3/1,0.22043424,51.50615592
11125,11125,85655393,Harold Hill,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,554100,191182,1,,osgb1000002504197629,1,21301607,3,14.8,"Units 7-9, Falcon Business Centre",Ashton Road,Romford,Greater London,RM3 8UR,Havering London Boro,,London Fire Brigade,2023/3/1,0.223539568,51.59840771
3229,3229,16436495,Central Middlesex Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,520178,182750,1,202136752,osgb1000001787306395,5,20200845,3,112.2,,Acton Lane,London,Greater London,NW10 7NS,Brent London Boro,2089655733,Wilmington Healthcare Ltd,2023/3/1,-0.268837018,51.53087938
3291,3291,16439215,Beckenham Beacon,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,536898,169191,1,1.00023E+11,osgb1000006387081,6,20300876,1,51.3,379,Croydon Road,Beckenham,Greater London,BR3 3QL,Bromley London Boro,1689863000,Wilmington Healthcare Ltd,2023/3/1,-0.033182513,51.40523061
3297,3297,16440046,Royal National Orthopaedic Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,517032.6,193990.7,1,10000001177,osgb1000003333872,5,21202605,1,360,,Brockley Hill,Stanmore,Greater London,HA7 4LP,Harrow London Boro,2089542300,Wilmington Healthcare Ltd,2023/3/1,-0.310417532,51.63256643
3299,3299,16439723,Purley War Memorial Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,531431,161871,1,1.00023E+11,osgb1000042247261,4,20500187,1,64,856,Brighton Road,Purley,Greater London,CR8 2YL,Croydon London Boro,2032285400,Wilmington Healthcare Ltd,2023/3/1,-0.114439836,51.34073968
3300,3300,16439898,Memorial Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,543448,176419,1,1.00023E+11,osgb1000001770585663,13,20801346,2,112.6,Memorial Hospital,Shooters Hill,Plumstead,Greater London,SE18 3RZ,Greenwich London Boro,2088368500,Wilmington Healthcare Ltd,2023/3/1,0.063848631,51.46856333
3302,3302,16439983,Erith & District Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,550561,177576,1,1.00023E+11,osgb1000000205500,9,20101100,1,50.3,193,Park Crescent,Erith,Greater London,DA8 3EE,Bexley London Boro,2083083131,Wilmington Healthcare Ltd,2023/3/1,0.166670508,51.47711292
3303,3303,16440161,Western Eye Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,527550,181813,1,,osgb1000042195995,4,8401317,3,15.4,153-173,Marylebone Road,London,Greater London,NW1 5QH,City of Westminster London Boro,2033126666,Wilmington Healthcare Ltd,2023/3/1,-0.162953634,51.52084331
4750,4750,19243650,Goldie Leigh Hospital Site,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,547073,177656,1,1.00023E+11,osgb1000000034858,7,20800933,2,100.7,Goldie Leigh Hospital,Lodge Hill,London,Greater London,SE2,Greenwich London Boro,2083197100,Wilmington Healthcare Ltd,2023/3/1,0.116515134,51.4787486
4819,4819,20044903,Ealing Day Treatment Centre,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,513130,181125,1,12126662,osgb1000002907782,6,20600259,1,49.2,,Britten Drive,Southall,Greater London,UB1 2SH,Ealing London Boro,2085711143,Wilmington Healthcare Ltd,2023/3/1,-0.370921182,51.51772821
4957,4957,20365260,Chelsea & Westminster Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,526369,177712,1,217033201,osgb1000042169624,7,21700218,1,114.9,369,Fulham Road,London,Greater London,SW10 9TR,Kensington and Chelsea London Boro,2033158000,Wilmington Healthcare Ltd,2023/3/1,-0.181435161,51.48425236
4962,4962,20365492,University College Hospital at Westmoreland Street,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,528470,181696,1,1.00023E+11,osgb1000005294085,5,8401609,1,12.1,16-18,Westmoreland Street,London,Greater London,W1G 8PH,City of Westminster London Boro,2034567898,Wilmington Healthcare Ltd,2023/3/1,-0.149743253,51.51958355
4965,4965,20365003,St Pancras Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,529688,183612,1,5139737,osgb1000005431389,3,20400656,1,79.9,St Pancras Hospital 4,St Pancras Way,London,Greater London,NW1 0PE,Camden London Boro,2033173500,Wilmington Healthcare Ltd,2023/3/1,-0.131492955,51.53652433
4968,4968,20365200,Sutton Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,526080.7,162260.7,1,5870027664,osgb1000004271212,9,22602231,1,245.3,Sutton Hospital,Cotswold Road,Sutton,Greater London,SM2 5NF,Sutton London Boro,2082962000,Wilmington Healthcare Ltd,2023/3/1,-0.191073595,51.34545197
4969,4969,20365207,Kingston Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,519525.6,169822.2,1,1.00023E+11,osgb1000041455518,7,21800429,1,131.5,Kingston Hospital,Galsworthy Road,Kingston-upon-Thames,Greater London,KT2 7QB,Kingston upon Thames London Boro,2085467711,Wilmington Healthcare Ltd,2023/3/1,-0.282607256,51.41482778
4976,4976,20365624,The Royal London Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,534687,181756,1,,osgb5000005126394481,3,22701339,3,35.6,,,London,Greater London,E1,Tower Hamlets London Boro,2073777000,Wilmington Healthcare Ltd,2023/3/1,-0.06016786,51.51867554
4985,4985,20912378,King's College Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,532494,176068,1,1.00023E+11,osgb1000001767379058,91,21900453,1,150.9,,Denmark Hill,London,Greater London,SE5 9RS,Lambeth London Boro,2032999000,Wilmington Healthcare Ltd,2023/3/1,-0.09389012,51.46807795
4986,4986,20912550,Whittington Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,529078,186930,1,10090262687,osgb1000005305961,15,21600568,1,82.5,,Magdala Avenue,"Islington, London",Greater London,N19 5NF,Islington London Boro,2072723070,Wilmington Healthcare Ltd,2023/3/1,-0.139066492,51.56648222
4988,4988,20912385,Hammersmith Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,522476,181342,1,,osgb1000042034352,9,21000285,2,184.8,Hammersmith Hospital,Du Cane Road,London,Greater London,W12 0HS,Hammersmith and Fulham London Boro,2033131000,Wilmington Healthcare Ltd,2023/3/1,-0.236213418,51.51773212
4989,4989,20912558,Royal London Hospital for Integrated Medicine,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,530432,181986,1,5123747,osgb1000005580003,16,20499044,1,25.9,,Great Ormond Street,London,Greater London,WC1N 3HR,Camden London Boro,8451555000,Wilmington Healthcare Ltd,2023/3/1,-0.121373674,51.52174055
4990,4990,20912560,The National Hospital for Neurology & Neurosurgery,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,530389,182033,1,5133289,osgb1000005579996,13,20499108,1,26.8,,Queen Square,London,Greater London,WC1N 3BG,Camden London Boro,8451555000,Wilmington Healthcare Ltd,2023/3/1,-0.121975725,51.52217285
4992,4992,20912396,Guy's Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,532893,180024,1,2.00003E+11,osgb5000005130862748,5,22503273,3,53,,Great Maze Pond,London,Greater London,SE1 9RT,Southwark London Boro,2071887188,Wilmington Healthcare Ltd,2023/3/1,-0.086661638,51.50353567
4995,4995,20912422,Moorfields Eye Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,532602,182655,1,10090550189,osgb1000005893373,8,21604520,1,55.2,162-184,City Road,"Islington, London",Greater London,EC1V 2PD,Islington London Boro,2072533411,Wilmington Healthcare Ltd,2023/3/1,-0.089862535,51.5272477
4997,4997,20912266,Croydon University Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,531688,167262,1,2.00001E+11,osgb1000042258305,13,20503034,1,201.5,Croydon University Hospital 530,London Road,Thornton Heath,Greater London,CR7 7YE,Croydon London Boro,2084013000,Wilmington Healthcare Ltd,2023/3/1,-0.108757827,51.3891284
4998,4998,20912267,Springfield University Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,527130,172513,1,1.00023E+11,osgb1000001795031692,44,22902024,1,369.6,Springfield Hospital 61,Glenburnie Road,London,Greater London,SW17 7DJ,Wandsworth London Boro,2035135000,Wilmington Healthcare Ltd,2023/3/1,-0.172347849,51.43735797
4999,4999,20912438,Newham University Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,541259,182391,1,46255350,osgb1000041864059,12,22200647,1,110.7,,Glen Road,"Plaistow, London",Greater London,E13 8SL,Newham London Boro,2074764000,Wilmington Healthcare Ltd,2023/3/1,0.034744335,51.52277737
5000,5000,20912615,Royal Brompton Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,527090.4,178341.1,1,217085226,osgb1000042195426,6,21700534,1,36.8,Royal Brompton Hospital,Sydney Street,London,Greater London,SW3 6PY,Kensington and Chelsea London Boro,2073528121,Wilmington Healthcare Ltd,2023/3/1,-0.170824993,51.48974463
5001,5001,20912616,Harefield Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,505166,190856,1,1.00023E+11,osgb1000041969311,11,21400974,1,156.9,,Hill End Road,Harefield,Greater London,UB9 6JH,Hillingdon London Boro,1895823737,Wilmington Healthcare Ltd,2023/3/1,-0.482747362,51.60673167
5003,5003,20912447,St Marks Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,516509,187673,1,,osgb5000005290250512,1,20203055,3,162.4,,Watford Road,Harrow,Greater London,HA1 3UJ,Brent London Boro,2082354000,Wilmington Healthcare Ltd,2023/3/1,-0.320077605,51.57589354
5006,5006,20912283,Queen Mary's Hospital for Children,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,526420,166088,1,,osgb1000004286811,3,22605653,2,142.6,St. Helier Hospital,Wrythe Lane,Carshalton,Greater London,SM5 1AA,Sutton London Boro,2082962000,Wilmington Healthcare Ltd,2023/3/1,-0.184845156,51.37977361
5008,5008,20912291,North Middlesex University Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,533470,192231,1,207169107,osgb1000006075735,18,20705054,1,136.1,,Sterling Way,Edmonton,Greater London,N18 1QX,Enfield London Boro,2088872000,Wilmington Healthcare Ltd,2023/3/1,-0.073724722,51.6130962
5012,5012,20912480,Royal Marsden Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,526968.8,178428.8,1,217032983,osgb1000004322712,4,21700218,1,61.2,203,Fulham Road,London,Greater London,SW3 6JJ,Kensington and Chelsea London Boro,2073528171,Wilmington Healthcare Ltd,2023/3/1,-0.172544009,51.49056009
5013,5013,20912481,Royal Marsden Hospital (Surrey Branch),5280371,Education and Health,Health Practitioners and Establishments,Hospitals,526085,162041,1,5870119069,osgb1000004271209,17,22605395,1,141.3,,Downs Road,Sutton,Greater London,SM2 5PT,Sutton London Boro,2086426011,Wilmington Healthcare Ltd,2023/3/1,-0.191089633,51.3434765
5015,5015,20912351,Ealing Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,514864,179969.3,1,12001075,osgb1000002999942,14,20604995,3,81.1,Ealing Hospital,Uxbridge Road,Southall,Greater London,UB1 3HW,Ealing London Boro,2089675000,Wilmington Healthcare Ltd,2023/3/1,-0.346317427,51.50699141
5018,5018,20912532,Great Ormond Street Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,530533.3,182040.6,1,5090726,osgb1000001802118636,22,20499044,1,23.5,,Great Ormond Street,London,Greater London,WC1N 3JH,Camden London Boro,2074059200,Wilmington Healthcare Ltd,2023/3/1,-0.119894185,51.52220785
5019,5019,20912537,Mile End Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,535925,182509,1,6033653,osgb1000041688203,18,22700755,3,82.5,275,Bancroft Road,London,Greater London,E1 4DG,Tower Hamlets London Boro,2073777000,Wilmington Healthcare Ltd,2023/3/1,-0.042045402,51.52514583
5020,5020,20912540,Bethlem Royal Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,537210,166494,1,1.00023E+11,osgb1000041745471,9,20301962,1,157.2,Bethlem Royal Hospital,Monks Orchard Road,Beckenham,Greater London,BR3 3BX,Bromley London Boro,2032286000,Wilmington Healthcare Ltd,2023/3/1,-0.029740663,51.38091955
5044,5044,20912774,St Ann's Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,532294,188587,1,1.00023E+11,osgb1000005912308,5,21103905,1,97.6,St Anns General Hospital,St Anns Road,"Tottenham, London",Greater London,N15 3TH,Haringey London Boro,2084426000,Wilmington Healthcare Ltd,2023/3/1,-0.092071255,51.58062766
5071,5071,20913601,Northwick Park Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,516376,187616,1,202026960,osgb1000001777821636,14,20201453,1,214.7,,Watford Road,Harrow,Greater London,HA1 3UJ,Brent London Boro,2088643232,Wilmington Healthcare Ltd,2023/3/1,-0.322014893,51.57540866
5072,5072,20913603,Royal Free Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,527297,185410,1,5087826,osgb1000005165917,9,20400297,1,91.1,Royal Free Hospital,Pond Street,London,Greater London,NW3 2QG,Camden London Boro,2077940500,Wilmington Healthcare Ltd,2023/3/1,-0.165298226,51.55322653
5087,5087,20913653,Queen Charlottes & Chelsea Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,522398,181185,1,34141001,osgb1000042034612,5,21000285,2,45.2,Hammersmith Hospital,Du Cane Road,London,Greater London,W12 0HS,Hammersmith and Fulham London Boro,2033131111,Wilmington Healthcare Ltd,2023/3/1,-0.237391535,51.51633798
5093,5093,20913492,Camden Mews Day Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,529420,184422,1,,osgb1000005436855,6,20400538,2,11.3,1月5日,Camden Mews,London,Greater London,NW1 9DB,Camden London Boro,2033174740,Wilmington Healthcare Ltd,2023/3/1,-0.135057223,51.54386513
5098,5098,20913534,Whipps Cross University Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,538863,188563,1,1.00023E+11,osgb1000006636506,71,22886800,1,144.4,Whipps Cross University Hospital,Whipps Cross Road,Leytonstone,Greater London,E11 1NR,Waltham Forest London Boro,2085395522,Wilmington Healthcare Ltd,2023/3/1,0.00266552,51.57883278
5100,5100,20913544,St Thomas' Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,530703,179517,1,1.00023E+11,osgb1000005572715,13,21901482,1,136.1,St Thomas' Hospital 249,Westminster Bridge Road,London,Greater London,SE1 7EH,Lambeth London Boro,2071887188,Wilmington Healthcare Ltd,2023/3/1,-0.118384658,51.49948956
5101,5101,20913548,Hillingdon Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,506870,181856,1,,osgb1000002316270,3,21401529,2,104.9,,Pield Heath Road,Uxbridge,Greater London,UB8 3NN,Hillingdon London Boro,1895238282,Wilmington Healthcare Ltd,2023/3/1,-0.460885403,51.52551681
5102,5102,20913550,The Princess Royal University Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,543443,165032,1,1.0002E+11,osgb1000001773944906,17,20300069,1,296.4,,Farnborough Common,Orpington,Greater London,BR6 8ND,Bromley London Boro,1689863000,Wilmington Healthcare Ltd,2023/3/1,0.059173524,51.36624433
5103,5103,20913559,St Helier Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,526504,166150,1,5870054822,osgb1000004286748,28,22605653,1,46.9,St Helier Hospital,Wrythe Lane,Carshalton,Greater London,SM5 1AA,Sutton London Boro,2082962000,Wilmington Healthcare Ltd,2023/3/1,-0.183616751,51.38031212
5104,5104,20913560,St George's Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,526925,171324,1,1.00023E+11,osgb1000041620171,11,22900509,1,218.2,,Blackshaw Road,London,Greater London,SW17 0QT,Wandsworth London Boro,2086721255,Wilmington Healthcare Ltd,2023/3/1,-0.175721298,51.42671799
5106,5106,20913569,St Mary's Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,526826,181364,1,2.00001E+11,osgb1000042175613,7,8400572,1,21.6,St Marys Hospital,Praed Street,London,Greater London,W2,City of Westminster London Boro,2033126666,Wilmington Healthcare Ltd,2023/3/1,-0.173544826,51.51697098
5117,5117,21470616,Mount Vernon Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,507721,191879,1,,osgb1000041972238,2,21401630,2,203.5,,Rickmansworth Road,Northwood,Greater London,HA6 2RN,Hillingdon London Boro,1923826111,Wilmington Healthcare Ltd,2023/3/1,-0.44555274,51.61544415
5171,5171,22925602,St Charles Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,523783,181889,1,217118402,osgb1000042072360,10,21700870,1,71.8,,Exmoor Street,London,Greater London,W10 6DZ,Kensington and Chelsea London Boro,2089692488,Wilmington Healthcare Ltd,2023/3/1,-0.217193904,51.52236361
5236,5236,32499583,Evelina Children's Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,530691,179384,1,,osgb1000001769596311,2,21900829,3,49.3,249,Westminster Bridge Road,London,Greater London,SE1 7EH,Lambeth London Boro,2071887188,Wilmington Healthcare Ltd,2023/3/1,-0.118606681,51.49829708
5314,5314,37026669,Queen's Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,551117.7,187780.5,1,10013186555,osgb1000002504083189,3,21301559,1,252.2,,Rom Valley Way,Romford,Greater London,RM7 0AG,Havering London Boro,1708435000,Wilmington Healthcare Ltd,2023/3/1,0.179053639,51.56865311
5335,5335,41253469,Richard Desmond Children's Eye Centre,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,532561,182632,1,10012790234,osgb1000001802736538,5,21605651,2,19.7,3,Peerless Street,London,Greater London,EC1V 9EZ,Islington London Boro,2072533411,Wilmington Healthcare Ltd,2023/3/1,-0.090461875,51.52705063
5336,5336,41253472,East Ham Care Centre,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,541817,184252,1,46253683,osgb1000041872753,6,22207886,1,68.8,"306, Shrewsbury Road",Forest Gate,London,Greater London,E7 8QP,Newham London Boro,2084752001,Wilmington Healthcare Ltd,2023/3/1,0.043530359,51.53936011
5375,5375,49126939,Barnet Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,523647.3,196169.2,1,200134904,osgb1000042084117,14,20045000,1,107.3,,Wellhouse Lane,Barnet,Greater London,EN5 3DJ,Barnet London Boro,2082164600,Wilmington Healthcare Ltd,2023/3/1,-0.214122767,51.65073048
5448,5448,54286859,Finchley Memorial Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,526387,191223,1,200050404,osgb5000005104997052,2,20018780,3,75.6,,Granville Road,London,Greater London,N12 0JE,Barnet London Boro,2083497500,Wilmington Healthcare Ltd,2023/3/1,-0.1763265,51.60567169
5452,5452,54286666,Elizabeth Garrett Anderson Wing (University College Hospital),5280371,Education and Health,Health Practitioners and Establishments,Hospitals,529448,182218,1,5090741,osgb1000005431016,12,20400955,3,19.8,235,Euston Road,London,Greater London,NW1 2BU,Camden London Boro,2034567890,Wilmington Healthcare Ltd,2023/3/1,-0.135463535,51.52405165
5696,5696,78340051,Clayponds Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,518188,178721,1,12126605,osgb1000003406957,4,20602244,1,79.7,,Sterling Place,Ealing,Greater London,W5 4RN,Ealing London Boro,2085604011,Wilmington Healthcare Ltd,2023/3/1,-0.298862344,51.4950876
5697,5697,78340066,Orpington Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,545961,164687,1,10003628027,osgb1000007328566,9,20303984,3,67.4,,Sevenoaks Road,Orpington,Greater London,BR6 9JU,Bromley London Boro,1689865911,Wilmington Healthcare Ltd,2023/3/1,0.095176498,51.36250344
5713,5713,78340067,Edgware Community Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,519772,191079,1,,osgb5000005140898960,1,20006200,2,73.9,Burnt Oak Broadway,,Edgware,Greater London,HA8 0AD,Barnet London Boro,2089522381,Wilmington Healthcare Ltd,2023/3/1,-0.271850729,51.60582149
6878,6878,103916527,Charing Cross Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,523690,177957,1,34118984,osgb1000042065171,14,21000356,1,82.7,,Fulham Palace Road,London,Greater London,W6 8RF,Hammersmith and Fulham London Boro,2033111234,Wilmington Healthcare Ltd,2023/3/1,-0.219912061,51.48704587
6989,6989,103917367,Grays Court Community Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,549751,184456,1,10094448809,osgb1000001811257042,5,19900502,2,20.2,John Parker Close,,Dagenham,Greater London,RM10 9SR,Barking and Dagenham London Boro,2036442763,Wilmington Healthcare Ltd,2023/3/1,0.157935461,51.53914594
7176,7176,103925060,Edgware Community Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,519763.3,191076.2,1,200219631,osgb1000001780651862,3,20006200,1,69.7,Edgware Community Hospital,Burnt Oak Broadway,Edgware,Greater London,HA8 0AD,Barnet London Boro,2089522381,Wilmington Healthcare Ltd,2023/3/1,-0.271977252,51.60579817
7186,7186,103925303,King George Hospital,5280371,Education and Health,Health Practitioners and Establishments,Hospitals,546441.5,188967,1,1.00022E+11,osgb5000005128001379,3,22301832,1,230.4,King George Hospital 167,Barley Lane,Ilford,Greater London,IG3 8YB,Redbridge London Boro,3304004333,Wilmington Healthcare Ltd,2023/3/1,0.112125908,51.58054581
