IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
000074-01012023,44927,2023,0.025405093,0,Fire,Secondary Fire,,Outdoor,Park ,In street close to gazetteer location,SE18 2TE,SE18,1.00021E+11,20801298,E09000011,GREENWICH,Greenwich,E05014088,PLUMSTEAD COMMON,PLUMSTEAD COMMON,544270,177390,544250,177350,51.47708714,0.076081786,London,Plumstead,424,Eltham,,,1,1,1,1,364,1
000076-01012023,44927,2023,0.025787037,0,Fire,Primary Fire,,Non Residential,Other building/use not known ,Correct incident location,SE1 5JX,SE1,10090746774,22502341,E09000028,SOUTHWARK,Southwark,E05011109,OLD KENT ROAD,OLD KENT ROAD,534354,178049,534350,178050,51.4854421,-0.0663756,London,Old Kent Road,334,New Cross,384,Deptford,2,2,2,7,2548,2
000078-01012023,44927,2023,0.026157407,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Correct incident location,NW6 4EU,NW6,5046161,20401268,E09000007,CAMDEN,Camden,E05013670,SOUTH HAMPSTEAD,SOUTH HAMPSTEAD,526361,184425,526350,184450,51.54458532,-0.179137285,London,West Hampstead,284,West Hampstead,,,1,1,1,1,364,1
000083-01012023,44927,2023,0.026875,0,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Correct incident location,,NW2,0,20039860,E09000003,BARNET,Barnet,E05013631,CHILDS HILL,CHILDS HILL,,,524050,186250,,,London,West Hampstead,312,West Hampstead,,,1,1,1,1,364,1
000085-01012023,44927,2023,0.027824074,0,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,DA6,0,20101053,E09000004,BEXLEY,Bexley,E05011219,BEXLEYHEATH,BEXLEYHEATH,,,549450,174950,,,London,Bexley,210,Bexley,,,1,1,1,1,364,1
000088-01012023,44927,2023,0.028796296,0,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street outside gazetteer location,N13 5LX,N13,207007749,20704217,E09000010,ENFIELD,Enfield,E05013683,HIGHFIELD,HIGHFIELD,532275,193210,532250,193250,51.62217796,-0.090603404,London,Edmonton,295,Edmonton,,,1,1,1,1,364,2
000089-01012023,44927,2023,0.028854167,0,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Within same building,,CR0,0,20501289,E09000008,CROYDON,Croydon,E05011488,WEST THORNTON,WEST THORNTON,,,530750,167150,,,London,Norbury,232,Norbury,240,Norbury,1,2,2,1,364,1
000090-01012023,44927,2023,0.028993056,0,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,SW19,0,22102922,E09000024,MERTON,Merton,E05013825,VILLAGE,VILLAGE,,,523950,170850,,,London,Wimbledon,393,Wimbledon,,,1,1,1,1,364,2
000091-01012023,44927,2023,0.029467593,0,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street outside gazetteer location,N9 0HL,N9,207006814,20703356,E09000010,ENFIELD,Enfield,E05013685,LOWER EDMONTON,LOWER EDMONTON,535147,193483,535150,193450,51.62394983,-0.049024624,London,Edmonton,430,Enfield,,,1,1,1,1,364,1
000092-01012023,44927,2023,0.029618056,0,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,N3 1PA,N3,200221325,20024260,E09000003,BARNET,Barnet,E05013648,WEST FINCHLEY,WEST FINCHLEY,525403,191382,525450,191350,51.60732463,-0.190463192,London,Finchley,253,Finchley,,,1,1,1,1,364,1
